"id","tournament_title","tournament_link","tournament_year","tournament_start_date","last_update"
73,Auckland,/en/scores/archive/auckland/301/2018/draws?matchtype=singles,2018,2018-01-08 00:00:00,2020-09-29 11:11:42
74,Australian Open,/en/scores/archive/australian-open/580/2018/draws?matchtype=singles,2018,2018-01-15 00:00:00,2020-09-29 11:11:47
75,Montpellier,/en/scores/archive/montpellier/375/2018/draws?matchtype=singles,2018,2018-02-05 00:00:00,2020-09-29 11:11:49
76,Quito,/en/scores/archive/quito/7161/2018/draws?matchtype=singles,2018,2018-02-05 00:00:00,2020-09-29 11:11:50
77,Sofia,/en/scores/archive/sofia/7434/2018/draws?matchtype=singles,2018,2018-02-05 00:00:00,2020-09-29 11:11:52
78,Rotterdam,/en/scores/archive/rotterdam/407/2018/draws?matchtype=singles,2018,2018-02-12 00:00:00,2020-09-29 11:11:54
79,New York,/en/scores/archive/new-york/424/2018/draws?matchtype=singles,2018,2018-02-12 00:00:00,2020-09-29 11:11:56
80,Buenos Aires,/en/scores/archive/buenos-aires/506/2018/draws?matchtype=singles,2018,2018-02-12 00:00:00,2020-09-29 11:11:58
82,Marseille,/en/scores/archive/marseille/496/2018/draws?matchtype=singles,2018,2018-02-19 00:00:00,2020-09-29 11:12:01
83,Delray Beach,/en/scores/archive/delray-beach/499/2018/draws?matchtype=singles,2018,2018-02-19 00:00:00,2020-09-29 11:12:04
84,Dubai,/en/scores/archive/dubai/495/2018/draws?matchtype=singles,2018,2018-02-26 00:00:00,2020-09-29 11:12:05
85,Acapulco,/en/scores/archive/acapulco/807/2018/draws?matchtype=singles,2018,2018-02-26 00:00:00,2020-09-29 11:12:07
86,Sao Paulo,/en/scores/archive/sao-paulo/533/2018/draws?matchtype=singles,2018,2018-02-26 00:00:00,2020-09-29 11:12:09
87,ATP Masters 1000 Indian Wells,/en/scores/archive/indian-wells/404/2018/draws?matchtype=singles,2018,2018-03-08 00:00:00,2020-09-29 11:12:14
88,ATP Masters 1000 Miami,/en/scores/archive/miami/403/2018/draws?matchtype=singles,2018,2018-03-21 00:00:00,2020-09-29 11:12:19
89,Houston,/en/scores/archive/houston/717/2018/draws?matchtype=singles,2018,2018-04-09 00:00:00,2020-09-29 11:12:21
90,Marrakech,/en/scores/archive/marrakech/360/2018/draws?matchtype=singles,2018,2018-04-09 00:00:00,2020-09-29 11:12:23
92,Barcelona,/en/scores/archive/barcelona/425/2018/draws?matchtype=singles,2018,2018-04-23 00:00:00,2020-09-29 11:12:28
93,Budapest,/en/scores/archive/budapest/7648/2018/draws?matchtype=singles,2018,2018-04-23 00:00:00,2020-09-29 11:12:30
94,Estoril,/en/scores/archive/estoril/7290/2018/draws?matchtype=singles,2018,2018-04-30 00:00:00,2020-09-29 11:12:32
95,Munich,/en/scores/archive/munich/308/2018/draws?matchtype=singles,2018,2018-04-30 00:00:00,2020-09-29 11:12:34
96,Istanbul,/en/scores/archive/istanbul/7163/2018/draws?matchtype=singles,2018,2018-04-30 00:00:00,2020-09-29 11:12:36
97,ATP Masters 1000 Madrid,/en/scores/archive/madrid/1536/2018/draws?matchtype=singles,2018,2018-05-06 00:00:00,2020-09-29 11:12:38
98,ATP Masters 1000 Rome,/en/scores/archive/rome/416/2018/draws?matchtype=singles,2018,2018-05-13 00:00:00,2020-09-29 11:12:41
99,Lyon,/en/scores/archive/lyon/7694/2018/draws?matchtype=singles,2018,2018-05-20 00:00:00,2020-09-29 11:12:43
100,Geneva,/en/scores/archive/geneva/322/2018/draws?matchtype=singles,2018,2018-05-21 00:00:00,2020-09-29 11:12:44
101,Roland Garros,/en/scores/archive/roland-garros/520/2018/draws?matchtype=singles,2018,2018-05-27 00:00:00,2020-09-29 11:12:49
102,Stuttgart,/en/scores/archive/stuttgart/321/2018/draws?matchtype=singles,2018,2018-06-11 00:00:00,2020-09-29 11:12:51
103,s-Hertogenbosch,/en/scores/archive/s-hertogenbosch/440/2018/draws?matchtype=singles,2018,2018-06-11 00:00:00,2020-09-29 11:12:52
104,Halle,/en/scores/archive/halle/500/2018/draws?matchtype=singles,2018,2018-06-18 00:00:00,2020-09-29 11:12:54
