"id","tournament_id","player1_id","player2_id","round_num","winner_id"
1,1,1,2,1,1
2,1,3,4,1,3
3,1,5,6,1,5
4,1,7,8,1,8
5,1,9,10,1,10
6,1,11,12,1,12
7,1,13,14,1,14
8,1,15,16,1,16
9,1,17,18,1,18
10,1,19,20,1,19
11,1,21,22,1,21
12,1,23,24,1,24
13,1,25,26,1,25
14,1,27,28,1,28
15,1,29,30,1,29
16,1,31,32,1,31
17,1,1,3,2,1
18,1,5,8,2,8
19,1,10,12,2,10
20,1,14,16,2,16
21,1,18,19,2,19
22,1,21,24,2,24
23,1,25,28,2,28
24,1,29,31,2,31
25,1,1,8,3,1
26,1,10,16,3,16
27,1,19,24,3,24
28,1,28,31,3,28
29,1,1,16,4,16
30,1,24,28,4,28
31,1,16,28,5,16
32,2,33,34,1,33
33,2,35,36,1,36
34,2,37,38,1,38
35,2,39,40,1,40
36,2,41,34,1,41
37,2,42,43,1,43
38,2,44,45,1,45
39,2,46,47,1,47
40,2,48,49,1,48
41,2,50,51,1,50
42,2,52,53,1,52
43,2,34,54,1,54
44,2,55,56,1,55
45,2,57,58,1,57
46,2,59,60,1,60
47,2,34,61,1,61
48,2,33,36,2,36
49,2,38,40,2,40
50,2,41,43,2,41
51,2,45,47,2,47
52,2,48,50,2,50
53,2,52,54,2,52
54,2,55,57,2,55
55,2,60,61,2,61
56,2,36,40,3,36
57,2,41,47,3,41
58,2,50,52,3,50
59,2,55,61,3,61
60,2,36,41,4,41
61,2,50,61,4,61
62,2,41,61,5,61
63,3,62,34,1,62
64,3,63,64,1,63
65,3,65,66,1,65
66,3,67,68,1,68
67,3,69,34,1,69
68,3,70,71,1,70
69,3,72,73,1,73
70,3,74,75,1,75
71,3,76,77,1,77
72,3,78,79,1,78
73,3,80,81,1,81
74,3,34,82,1,82
75,3,83,84,1,84
76,3,85,86,1,86
77,3,87,88,1,87
78,3,34,89,1,89
79,3,62,63,2,62
80,3,65,68,2,68
81,3,69,70,2,69
82,3,73,75,2,75
